Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8437417654808959
Decision Tree,0.7932960893854749,0.8636363636363636,0.5507246376811594,0.672566371681416,0.8292490118577075
Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279,0.8287220026350461
