Strategy,Precision,Recall,F1 Score
Baseline,0.78125,0.7352941176470589,0.7575757575757576
Balanced Class Weight,0.7391304347826086,0.75,0.7445255474452555
SMOTE,0.746031746031746,0.6911764705882353,0.7175572519083969
